"","Type","Subpopulation","Indicator","Value","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"2314","Basin","ZONE 1","TN",0.855,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2315","Basin","ZONE 1","TN",0.873,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2316","Basin","ZONE 1","TN",0.884,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2317","Basin","ZONE 1","TN",0.964,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2318","Basin","ZONE 1","TN",1.004,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2319","Basin","ZONE 1","TN",1.005,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2320","Basin","ZONE 1","TN",1.006,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2321","Basin","ZONE 1","TN",1.05,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2322","Basin","ZONE 1","TN",1.054,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2323","Basin","ZONE 1","TN",1.105,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2324","Basin","ZONE 1","TN",1.106,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2325","Basin","ZONE 1","TN",1.204,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2326","Basin","ZONE 1","TN",1.21,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2327","Basin","ZONE 1","TN",1.3,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2328","Basin","ZONE 1","TN",1.304,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2329","Basin","ZONE 1","TN",1.306,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2330","Basin","ZONE 1","TN",1.404,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2331","Basin","ZONE 1","TN",1.42,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2332","Basin","ZONE 1","TN",1.464,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
"2333","Basin","ZONE 1","TN",1.504,14,94.061259185381,5.49573795461455,83.2898107258666,100,13361.4962591468,951.383677250887,11496.8185162557,15226.1740020378
